Thumb,Index,Middle,Ring,Pinky,X,Y,Label
12,97,97,96,60,504,-848,Ã
12,98,96,95,60,504,-872,Ã
12,98,97,95,63,480,-864,Ã
12,100,98,96,72,480,-880,Ã
12,99,98,96,67,480,-864,Ã
12,101,98,97,67,496,-856,Ã
12,98,98,95,65,496,-880,Ã
12,95,97,95,58,488,-856,Ã
12,97,97,96,67,448,-864,Ã
12,99,98,97,72,472,-880,Ã
12,99,98,97,69,456,-880,Ã
12,100,98,95,67,480,-880,Ã
13,98,96,95,65,496,-880,Ã
12,96,96,95,63,480,-880,Ã
13,99,97,95,67,456,-880,Ã
13,99,97,96,69,456,-880,Ã
12,99,131,95,69,488,-880,Ã
12,97,96,95,69,496,-896,Ã
11,97,96,94,63,504,-880,Ã
12,96,96,94,63,496,-880,Ã
12,99,96,95,67,488,-880,Ã
12,98,127,94,69,488,-856,Ã
12,98,97,95,67,472,-888,Ã
12,99,96,93,65,496,-888,Ã
12,96,96,93,63,472,-888,Ã
11,97,96,94,63,488,-864,Ã
12,98,96,95,67,480,-888,Ã
11,98,96,95,67,472,-872,Ã
12,98,96,94,65,472,-888,Ã
12,97,96,93,65,480,-880,Ã
11,97,96,93,63,472,-864,Ã
12,97,95,94,60,488,-888,Ã
12,98,97,95,69,480,-880,Ã
12,99,96,94,65,472,-872,Ã
11,97,96,94,67,464,-864,Ã
12,96,96,95,65,472,-880,Ã
11,95,96,94,60,448,-872,Ã
11,96,96,94,65,464,-880,Ã
12,99,96,95,69,448,-872,Ã
12,97,96,94,67,472,-880,Ã
11,96,95,94,67,488,-888,Ã
11,97,96,95,63,464,-888,Ã
11,95,96,93,58,464,-864,Ã
11,97,96,95,65,488,-888,Ã
11,99,96,95,72,496,-856,Ã
12,99,96,94,69,472,-888,Ã
11,96,96,94,65,520,-880,Ã
11,96,95,93,60,472,-872,Ã
11,96,95,93,63,480,-864,Ã
12,98,96,94,65,472,-864,Ã
12,97,96,95,65,456,-864,Ã
12,97,96,95,65,480,-880,Ã
